ST_FIPS,Munic_FIPS,Year,Population,Combined_FIPS,Border_County,County,county_state,Border_State,state_name,Aggregate,Aggregate_Category,SFGR_Cases,SFGR_Inc,SFGR_Cases_Supp,SFGR_Inc_Supp,Ac_Syph_Cases,Ac_Syph_Inc,Ac_Syph_Cases_Supp,Ac_Syph_Inc_Supp,Gon_Cases,Gon_Inc,Gon_Cases_Supp,Gon_Inc_Supp,TB_Cases,TB_Inc,TB_Cases_Supp,TB_Inc_Supp,AIDS_Cases,AIDS_Inc,AIDS_Cases_Supp,AIDS_Inc_Supp,HepA_Cases,HepA_Inc,HepA_Cases_Supp,HepA_Inc_Supp,HepB_Cases,HepB_Inc,HepB_Cases_Supp,HepB_Inc_Supp,BinationBorn_Count,BinationBorn_Count_Supp,BinationBorn_Percent_Supp,BinationBorn_Percent,Country
26,052,2015,,26052,No,Sahuaripa,"Sahuaripa, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,052,2016,,26052,No,Sahuaripa,"Sahuaripa, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,052,2017,,26052,No,Sahuaripa,"Sahuaripa, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,052,2018,,26052,No,Sahuaripa,"Sahuaripa, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,052,2019,,26052,No,Sahuaripa,"Sahuaripa, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,052,2020,,26052,No,Sahuaripa,"Sahuaripa, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,053,2010,,26053,No,San Felipe de Jesús,"San Felipe de Jesús, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,053,2011,,26053,No,San Felipe de Jesús,"San Felipe de Jesús, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,053,2012,,26053,No,San Felipe de Jesús,"San Felipe de Jesús, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,053,2013,,26053,No,San Felipe de Jesús,"San Felipe de Jesús, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,053,2014,,26053,No,San Felipe de Jesús,"San Felipe de Jesús, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,053,2015,,26053,No,San Felipe de Jesús,"San Felipe de Jesús, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,053,2016,,26053,No,San Felipe de Jesús,"San Felipe de Jesús, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,053,2017,,26053,No,San Felipe de Jesús,"San Felipe de Jesús, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,053,2018,,26053,No,San Felipe de Jesús,"San Felipe de Jesús, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,053,2019,,26053,No,San Felipe de Jesús,"San Felipe de Jesús, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,053,2020,,26053,No,San Felipe de Jesús,"San Felipe de Jesús, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,072,2010,,26072,No,San Ignacio Río Muerto,"San Ignacio Río Muerto, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,072,2011,,26072,No,San Ignacio Río Muerto,"San Ignacio Río Muerto, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,072,2012,,26072,No,San Ignacio Río Muerto,"San Ignacio Río Muerto, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,072,2013,,26072,No,San Ignacio Río Muerto,"San Ignacio Río Muerto, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,072,2014,,26072,No,San Ignacio Río Muerto,"San Ignacio Río Muerto, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,072,2015,,26072,No,San Ignacio Río Muerto,"San Ignacio Río Muerto, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,072,2016,,26072,No,San Ignacio Río Muerto,"San Ignacio Río Muerto, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,072,2017,,26072,No,San Ignacio Río Muerto,"San Ignacio Río Muerto, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,072,2018,,26072,No,San Ignacio Río Muerto,"San Ignacio Río Muerto, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,072,2019,,26072,No,San Ignacio Río Muerto,"San Ignacio Río Muerto, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
26,072,2020,,26072,No,San Ignacio Río Muerto,"San Ignacio Río Muerto, Sonora",,Sonora,Non-border Counties,2,,,No,No,,,No,No,,,No,No,,,No,No,,,,,,,,,,,,,,,,,Mexico
